EnNo		DateTime
0000000014	2023/09/20  00:00:36
0000000014	2023/09/20  00:14:58
0000000033	2023/09/20  06:54:01
0000000035	2023/09/20  07:07:35
0000000003	2023/09/20  07:27:33
0000000012	2023/09/20  08:07:04
0000000022	2023/09/20  08:21:12
0000000025	2023/09/20  08:28:46
0000000032	2023/09/20  08:29:44
0000000046	2023/09/20  08:41:08
0000000042	2023/09/20  08:41:25
0000000007	2023/09/20  08:57:54
0000000011	2023/09/20  09:00:25
0000000011	2023/09/20  09:02:09
0000000016	2023/09/20  09:02:31
0000000011	2023/09/20  09:21:01
0000000042	2023/09/20  11:47:06
0000000042	2023/09/20  11:56:38
0000000011	2023/09/20  12:26:59
0000000011	2023/09/20  13:11:54
0000000032	2023/09/20  13:23:06
0000000025	2023/09/20  13:33:06
0000000025	2023/09/20  13:45:42
0000000007	2023/09/20  13:57:20
0000000022	2023/09/20  13:59:08
0000000007	2023/09/20  14:23:18
0000000022	2023/09/20  14:24:00
0000000012	2023/09/20  15:01:37
0000000035	2023/09/20  15:14:08
0000000033	2023/09/20  15:15:46
0000000016	2023/09/20  16:21:20
0000000016	2023/09/20  16:28:38
0000000011	2023/09/20  16:32:01
0000000022	2023/09/20  16:43:07
0000000042	2023/09/20  17:00:26
0000000046	2023/09/20  17:00:32
0000000007	2023/09/20  17:02:05
0000000014	2023/09/20  17:06:22
0000000025	2023/09/20  17:11:49
0000000003	2023/09/20  17:31:10
0000000016	2023/09/20  17:34:19
0000000014	2023/09/20  23:59:05
0000000014	2023/09/21  00:00:09
0000000014	2023/09/21  00:37:07
0000000035	2023/09/21  06:40:56
0000000033	2023/09/21  06:55:24
0000000012	2023/09/21  07:19:27
0000000022	2023/09/21  08:14:16
0000000025	2023/09/21  08:29:15
0000000032	2023/09/21  08:29:48
0000000003	2023/09/21  08:30:51
0000000042	2023/09/21  08:35:20
0000000046	2023/09/21  08:47:02
0000000007	2023/09/21  08:54:59
0000000044	2023/09/21  09:34:58
0000000011	2023/09/21  10:01:02
0000000042	2023/09/21  10:49:52
0000000042	2023/09/21  11:07:29
0000000016	2023/09/21  11:38:31
